client_numeric;vendor_numeric;year;month;day;sku_count_products;total_num_count_products;total_price_products
858;91;2022;2;3;6;35;56253
11475;123;2022;2;2;8;19;38624
763;71;2022;2;2;13;56;179635
5424;163;2022;2;3;10;14;42885
513;31;2022;2;3;11;45;103519
1230;20;2022;2;3;6;85;49442
11518;37;2022;2;3;12;59;61992
4969;16;2022;2;2;25;422;203860
3488;37;2022;2;3;12;46;132048
11550;39;2022;2;3;23;113;155885
7862;20;2022;2;4;24;73;86098
444;61;2022;2;3;15;88;292728
4127;26;2022;2;3;25;118;182072
248;6;2022;2;2;16;68;101257
4151;89;2022;2;2;6;36;59534
5345;135;2022;2;3;14;62;66129
451;26;2022;2;2;8;79;53941
7939;18;2022;2;3;5;29;37471
1120;163;2022;2;2;10;82;102648
1023;133;2022;2;10;30;1190;12942185
1801;126;2022;2;8;20;47;104661
7038;37;2022;2;3;16;41;40330
443;77;2022;2;3;35;69;95163
11633;27;2022;2;3;11;19;75474
3358;138;2022;2;3;14;92;180977
4256;55;2022;2;3;30;112;185762
11647;55;2022;2;3;33;107;365470
581;20;2022;2;4;32;155;225524
1019;125;2022;2;4;11;189;606926
587;20;2022;2;4;15;134;101724
5497;130;2022;2;3;10;127;238777
2979;154;2022;2;3;5;24;44094
11678;55;2022;2;4;31;100;172811
2918;127;2022;2;4;8;21;209196
4496;2;2022;2;4;8;33;66711
488;54;2022;2;4;7;32;31182
6572;129;2022;2;3;15;96;99292
1514;68;2022;2;4;18;1165;1556949
11705;8;2022;2;3;32;79;145265
1269;6;2022;2;3;23;111;192452
900;54;2022;2;3;14;57;142967
6290;33;2022;2;3;8;12;29742
116;63;2022;2;3;14;91;78792
2505;2;2022;2;3;6;21;196935
11729;134;2022;2;3;17;55;287258
1995;132;2022;2;3;12;48;97449
903;112;2022;2;3;13;52;105361
11739;37;2022;2;4;14;101;191912
11760;37;2022;2;4;21;70;79952
1413;100;2022;2;4;33;157;305560
11772;44;2022;2;4;46;352;540893
847;47;2022;2;4;67;785;2240852
847;47;2022;2;4;64;835;2331453
1033;134;2022;2;3;38;370;400008
1458;43;2022;2;4;10;39;86967
2707;112;2022;2;7;33;203;376188
8620;97;2022;2;4;12;84;40912
1109;134;2022;2;4;11;26;82706
11366;77;2022;2;4;31;90;255515
47;163;2022;2;4;2;7;24910
1194;95;2022;2;4;1;20;80260
4538;51;2022;2;4;18;282;652525
164;68;2022;2;4;5;5;10747
11832;37;2022;2;4;27;146;192056
1250;95;2022;2;7;29;121;168364
562;10;2022;2;7;19;81;167027
6727;58;2022;2;4;20;72;145772
4534;112;2022;2;4;10;26;77901
152;76;2022;2;4;10;59;55646
397;9;2022;2;7;10;77;153982
4299;31;2022;2;7;8;94;84004
11912;69;2022;2;7;20;109;141559
11915;37;2022;2;7;51;303;405925
4509;111;2022;2;7;14;257;189416
